path,acquisition,slices,receiverChannels,height,width,corrupted,systemFieldStrength_T,mode
data\multicoil_val\file_brain_AXT1PRE_203_6000618.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000801.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000866.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000894.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000685.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000809.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000699.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000641.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000691.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000639.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000715.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000687.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000734.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000624.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000728.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000672.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000703.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000662.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000668.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000787.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000655.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000633.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000726.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000721.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000879.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000843.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000793.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000833.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000701.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000864.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000779.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000888.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000829.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000807.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000711.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000826.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000847.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000612.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000695.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000791.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000614.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000775.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000647.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000815.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000785.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000730.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000823.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000631.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000868.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000841.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000736.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000856.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000748.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000744.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000693.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000769.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000781.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000783.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000885.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000862.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000679.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000616.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000660.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_val\file_brain_AXT1PRE_203_6000746.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000629.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_train
data\multicoil_train\file_brain_AXT1PRE_203_6000835.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_train\file_brain_AXT1PRE_203_6000676.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_val\file_brain_AXT1PRE_203_6000765.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_val\file_brain_AXT1PRE_203_6000754.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_train\file_brain_AXT1PRE_203_6000876.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_train\file_brain_AXT1PRE_203_6000658.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_train\file_brain_AXT1PRE_203_6000653.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_train\file_brain_AXT1PRE_203_6000627.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_train\file_brain_AXT1PRE_203_6000773.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_train\file_brain_AXT1PRE_203_6000873.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_train\file_brain_AXT1PRE_203_6000635.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
data\multicoil_val\file_brain_AXT1PRE_203_6000645.h5,AXT1PRE,16,4,640,320,False,2.8936,multicoil_val
