mode,path,acquisition,slices,receiverChannels,height,width,corrupted,systemFieldStrength_T
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000614.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000614_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000616.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000616_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000620.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000620_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000627.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000627_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000629.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000629_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000633.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000633_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000635.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000635_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000639.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000639_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000641.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000641_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000643.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000643_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000647.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000647_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000653.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000653_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000655.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000655_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000658.h5,AXT1PRE,16,4,640,320,False,2.8936
multicoil_train,data\multicoil_train\file_brain_AXT1PRE_203_6000658_corrupted.h5,AXT1PRE,16,4,640,320,True,2.8936
